                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                0.40416,                0.33791,                0.91036,                0.96691,                0.93617,                0.97135,                0.85225,                      0,                    inf,                      0,               0.000958,               0.000958,               0.000958
                    139,                0.41193,                0.33483,                 0.9081,                0.96165,                0.94277,                0.97174,                0.85173,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                    140,                0.41236,                0.23001,                0.87432,                0.96108,                0.93851,                0.97021,                0.84818,                      0,                    inf,                      0,               0.000826,               0.000826,               0.000826
                    141,                 0.4047,                0.22745,                0.86781,                0.96547,                0.93842,                0.96981,                0.84514,                      0,                    inf,                      0,                0.00076,                0.00076,                0.00076
                    142,                0.39975,                0.22314,                0.86834,                0.96225,                0.93792,                0.96951,                0.84525,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                    143,                0.39716,                0.22308,                0.86829,                0.95481,                0.94584,                0.96955,                0.84347,                      0,                    inf,                      0,               0.000628,               0.000628,               0.000628
                    144,                0.39307,                0.21827,                0.86716,                0.96016,                0.93618,                0.96933,                0.84634,                      0,                    inf,                      0,               0.000562,               0.000562,               0.000562
                    145,                0.39556,                 0.2182,                0.86871,                0.95904,                0.94105,                0.96992,                0.84625,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                    146,                0.38954,                0.21835,                0.86703,                0.95594,                 0.9418,                 0.9696,                0.84664,                      0,                    inf,                      0,                0.00043,                0.00043,                0.00043
                    147,                0.38767,                0.21358,                0.86298,                0.95089,                0.94463,                0.96867,                 0.8472,                      0,                    inf,                      0,               0.000364,               0.000364,               0.000364
                    148,                 0.3867,                0.21473,                 0.8602,                0.95263,                0.94591,                0.96757,                0.84574,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
                    149,                0.38763,                0.21478,                0.86026,                0.95369,                0.94358,                0.96712,                0.84582,                      0,                    inf,                      0,               0.000232,               0.000232,               0.000232
